UI,E1a,E2a,E3a,E4a,E5a,N1a,N2a,N3a,N4a,N5a,D1a,D2a,D3a,D4a,D5a,I1a,I2a,I3a,I4a,I5a,A1a,A2a,A3a,A4a,A5a,E1b,E2b,E3b,E4b,E5b,N1b,N2b,N3b,N4b,N5b,D1b,D2b,D3b,D4b,D5b,I1b,I2b,I3b,I4b,I5b,A1b,A2b,A3b,A4b,A5b,E1c,E2c,E3c,E4c,E5c,N1c,N2c,N3c,N4c,N5c,D1c,D2c,D3c,D4c,D5c,I1c,I2c,I3c,I4c,I5c,A1c,A2c,A3c,A4c,A5c
10025,4,3,1,2,3,3,1,1,3,4,2,1,2,3,4,2,2,1,1,3,3,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,2,3,4,4,5,4,4,3,3,4,4,4,4,5,5,4,4,4,3,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027,3,2,2,3,4,3,4,3,3,4,4,3,3,4,4,2,1,2,2,3,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028,3,2,3,3,5,4,5,4,5,5,4,3,1,4,5,2,1,1,2,5,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10030,3,5,4,3,3,3,2,3,2,3,3,3,3,2,3,3,2,1,2,3,3,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031,5,4,2,4,4,4,5,4,5,4,5,3,4,5,5,3,4,4,4,4,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,5,4,1,1,5,1,4,3,1,4,4,5,4,4,5,4,1,5,2,5,1,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10034,1,1,1,1,3,3,1,1,5,4,4,5,4,4,5,4,4,4,3,5,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035,4,1,2,2,2,2,4,3,1,3,3,5,4,5,4,3,3,1,1,3,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036,3,4,5,5,4,2,5,5,2,5,2,5,2,4,3,2,1,1,3,5,4,4,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10037,5,5,5,5,5,5,3,5,4,5,4,4,2,5,5,3,1,2,2,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10038,3,2,2,3,4,3,4,4,3,4,3,2,2,4,3,2,2,2,1,4,3,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10039,3,4,4,4,4,2,1,2,2,5,4,2,3,3,4,2,1,1,1,2,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040,3,2,1,3,3,3,3,2,2,4,4,4,4,4,4,2,3,3,2,3,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10041,3,3,3,3,3,3,3,3,3,4,3,3,3,2,4,3,2,2,2,4,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10042,2,2,2,3,5,1,2,3,2,5,4,4,3,4,5,4,2,1,3,5,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,4,2,2,4,4,4,1,3,3,4,4,4,4,4,4,4,3,3,3,4,2,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10044,3,4,4,5,4,5,2,3,2,3,1,1,1,2,3,1,1,1,1,3,5,3,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10045,4,2,4,4,4,4,4,4,4,5,2,2,3,4,5,3,1,1,2,5,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046,3,4,3,3,5,4,1,1,4,3,3,4,3,2,4,2,1,2,1,2,4,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10047,4,5,2,1,2,2,1,1,2,3,2,2,1,1,3,3,1,1,1,2,3,4,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048,4,3,4,5,4,3,4,3,4,5,3,4,3,4,4,2,2,1,1,4,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10049,4,4,4,5,4,3,3,3,3,4,4,4,4,5,5,4,2,3,2,4,2,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10050,4,2,1,2,4,3,1,1,3,5,4,3,3,4,5,1,1,1,1,5,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10051,5,4,4,4,4,5,5,5,3,2,3,3,3,5,5,3,3,3,3,5,2,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10052,3,2,2,4,3,3,2,2,3,4,4,4,3,4,4,3,2,1,2,3,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053,3,1,2,2,3,2,2,3,1,1,3,2,1,3,1,2,1,1,1,3,2,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10054,4,3,5,4,4,2,2,2,2,4,3,2,2,1,3,1,2,1,2,4,5,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10055,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10056,1,2,2,3,2,2,3,4,2,4,4,5,4,4,4,3,2,1,1,4,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10057,3,1,5,3,5,3,5,5,3,5,5,5,5,5,5,5,4,3,3,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058,2,5,3,4,4,3,1,2,3,5,4,3,3,3,4,3,3,3,3,4,2,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10059,3,1,4,2,3,2,2,1,3,4,3,3,3,4,4,4,3,3,3,4,2,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060,3,3,3,3,3,3,2,2,3,3,3,3,3,2,4,3,2,2,2,2,2,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10061,3,2,4,2,3,3,2,3,3,5,3,4,4,4,5,3,3,2,2,4,2,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,3,3,4,4,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,4,2,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10063,3,4,4,4,4,4,4,3,4,4,4,3,4,3,4,2,1,1,3,4,4,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065,3,5,2,2,3,4,1,2,1,5,2,2,3,4,3,1,1,1,1,4,5,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10066,5,5,5,5,5,4,4,4,5,5,4,3,4,5,5,2,2,2,1,5,3,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067,3,4,5,4,5,4,3,3,2,5,1,3,2,1,5,3,2,1,1,5,4,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068,3,5,4,5,4,3,3,3,3,4,4,3,3,4,4,3,2,2,1,4,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069,3,2,2,4,5,4,5,5,4,5,3,4,4,5,5,3,2,1,1,5,4,2,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10070,5,4,4,4,4,4,4,4,4,5,3,3,3,5,5,3,1,1,1,4,2,2,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10071,1,5,4,3,4,1,1,1,1,3,4,4,4,3,4,3,1,1,1,3,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10072,3,3,4,4,4,4,4,3,5,4,4,5,3,5,5,4,3,3,2,4,1,5,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10073,5,2,2,4,5,5,5,5,5,5,3,4,3,4,5,3,3,1,2,5,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074,4,5,5,1,3,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,3,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10075,3,3,3,4,4,4,4,4,4,4,5,4,4,4,5,4,2,2,2,5,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10076,3,1,2,3,4,2,2,2,1,3,4,3,2,3,4,3,1,1,2,4,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10077,5,1,4,5,5,5,4,4,5,4,4,5,4,4,4,2,4,2,1,3,1,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10078,3,3,3,3,5,1,3,3,1,5,4,4,4,4,5,5,1,1,1,5,2,1,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079,3,2,2,4,3,3,3,4,4,4,4,3,3,4,5,3,4,2,3,5,2,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10080,2,2,3,3,2,3,2,4,3,2,2,3,3,3,3,4,1,1,1,3,5,3,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081,3,3,3,3,3,3,3,3,3,3,2,4,2,2,4,2,2,1,5,4,2,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083,4,2,4,4,4,4,4,3,5,4,2,2,3,3,4,2,1,1,1,3,2,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084,4,4,5,3,5,3,2,4,3,5,4,4,4,3,4,3,2,2,1,4,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10085,4,5,4,3,4,2,2,1,2,3,1,3,3,3,4,1,1,1,1,4,2,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10086,2,1,2,2,2,2,1,1,1,2,4,4,3,4,2,3,3,2,3,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087,5,1,1,1,5,5,5,5,3,5,4,4,4,4,5,5,4,5,5,5,2,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10088,3,3,3,2,3,2,3,4,1,4,5,2,3,3,4,2,2,2,1,3,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10089,1,1,1,1,3,1,1,2,1,3,2,1,1,1,3,1,1,1,1,2,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10090,3,3,3,3,3,1,2,2,2,3,3,2,1,1,3,3,2,1,1,2,2,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091,4,4,4,5,4,2,4,3,5,5,3,4,3,4,5,3,3,3,2,4,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092,4,2,4,3,5,2,3,1,3,4,3,4,4,5,4,3,3,2,2,4,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10093,5,1,1,4,5,1,2,3,2,5,4,3,4,5,5,3,3,3,3,5,3,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094,2,1,1,2,2,2,1,1,1,3,2,2,2,2,3,2,2,1,2,2,4,4,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10095,2,3,3,3,3,3,4,3,2,3,3,4,3,3,3,2,2,3,2,4,3,3,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096,5,4,3,2,4,2,4,3,2,4,4,3,2,5,4,3,1,1,1,5,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097,3,3,4,4,4,3,3,3,2,4,3,2,4,5,4,3,1,1,1,4,2,4,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10098,2,4,2,3,3,3,2,3,2,3,2,2,3,3,3,2,3,1,3,2,1,3,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10099,3,2,2,2,3,1,3,2,1,4,4,4,2,4,5,3,1,1,2,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100,5,4,3,4,3,2,1,1,2,4,4,3,3,3,5,2,2,2,1,3,2,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101,5,3,3,4,4,5,4,3,4,4,2,3,3,3,4,4,2,2,2,5,1,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10102,4,3,3,4,4,4,3,4,3,4,4,5,5,5,4,4,4,3,3,4,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103,4,1,3,3,4,1,3,1,1,5,4,3,5,5,5,3,2,2,1,5,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104,1,4,4,3,2,2,1,1,2,5,5,4,5,3,5,5,5,4,4,5,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105,3,2,2,3,3,2,3,2,2,4,4,4,4,4,4,4,3,3,3,4,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106,3,4,4,4,4,3,3,3,3,4,3,4,4,4,4,3,2,2,2,4,4,3,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107,3,1,3,4,5,3,4,4,4,4,5,5,5,5,5,5,4,4,4,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108,3,2,3,2,3,2,2,2,1,3,2,3,2,3,4,2,1,1,1,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109,3,4,4,4,3,3,2,1,3,3,2,2,2,2,3,3,3,1,1,3,4,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110,3,2,3,2,4,3,2,2,2,5,4,5,4,5,4,2,3,2,2,5,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10111,4,2,2,3,4,2,2,2,1,4,1,3,2,2,5,1,1,1,1,4,3,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112,3,3,3,3,3,2,2,1,1,4,3,2,2,4,3,2,1,1,1,3,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113,4,3,3,3,4,3,3,4,4,4,4,4,3,3,4,4,3,3,3,4,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10114,4,2,3,4,4,4,3,4,3,5,4,3,4,4,5,3,1,1,2,4,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10115,3,3,2,3,4,5,4,3,3,3,2,3,3,3,3,3,2,3,3,3,3,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10116,4,3,3,4,4,2,4,5,3,4,3,4,4,5,5,3,3,3,3,4,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10117,4,4,4,4,4,5,5,5,4,4,2,4,3,4,4,3,2,1,2,4,3,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10118,4,3,3,4,4,4,4,4,4,4,3,4,3,3,5,4,4,3,3,4,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10119,4,3,4,4,4,2,2,2,2,4,3,2,1,3,5,2,1,2,1,4,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,4,3,3,3,3,2,1,2,2,3,3,3,3,3,5,4,2,2,2,3,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121,3,3,5,5,5,3,4,3,4,1,1,2,2,4,3,5,1,1,1,3,2,1,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10122,2,2,2,3,3,2,3,3,5,3,3,5,4,4,5,4,2,2,2,5,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123,3,1,3,1,2,1,3,2,2,3,4,3,1,4,4,4,2,2,1,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124,2,5,5,3,5,3,5,5,4,4,3,4,4,3,5,5,1,2,1,5,3,3,3,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10125,3,2,3,3,3,2,3,3,3,3,4,4,4,5,4,3,2,3,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126,5,4,3,4,5,5,5,5,5,5,3,5,4,4,5,4,4,3,3,5,2,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127,2,2,5,4,3,3,4,3,4,5,5,5,4,5,5,4,5,5,4,5,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128,4,4,4,3,3,4,1,3,4,3,4,2,2,4,5,3,2,3,2,4,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129,2,5,5,4,3,1,1,2,1,3,4,2,2,4,3,1,1,1,1,4,5,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130,2,2,2,3,4,3,3,3,4,2,3,3,3,4,2,3,1,1,1,4,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
